Name	Distance (Mpc)	Velocity(km/s)
NGC300	2.02	114
NGC925	9.12	778
NGC1326A	16.14	1698
NGC1365	17.22	1503
NGC1425	20.89	1403
NGC2403	3.13	343
NGC3031	3.55	139
NGC3198	13.68	768
NGC3351	9.33	594
NGC3368	9.86	715
NGC3621	6.55	557
NGC4321	14.32	1350
NGC4414	16.6	586
NGC4496A	14.52	1350
NGC4535	14.79	1350
NGC4536	14.45	1350
NGC4639	20.99	1350
NGC4725	11.91	1040
NGC7331	14.52	1099
